id,year,firstyear_spell,event,event2,deceased,time,lastyear_spell,listing,uri,rank,worth,country,selfmade,sector,age,age_imputed,worth_def,female,gensource,first_2010,continent
719,2012,2012,1,1,0,4,2015,1,daniel-mate,418,2800,Spain,1,1. Resource-related,49,NA,2128,0,Self-made male,0,Europe
719,2017,2017,1,1,0,7,2023,2,daniel-mate,973,2100,Spain,1,1. Resource-related,54,NA,1701,0,Self-made male,0,Europe
720,2010,2010,1,1,0,14,2023,1,daniel-och,287,3300,United States,1,4. Financial,49,NA,2376,0,Self-made male,1,North America
721,2010,2010,1,1,0,14,2023,1,daniel-pritzker,773,1300,United States,0,4. Financial,51,NA,936,0,Inherited male,1,North America
722,2014,2014,1,1,0,4,2017,1,daniel-roullier,931,1900,France,1,5. Tradable,77,NA,1482,0,Self-made male,0,Europe
723,2011,2011,1,1,0,1,2011,1,daniel-servitje-montull,310,3500,Mexico,0,5. Tradable,51,NA,2590,0,Inherited male,0,North America
724,2021,2021,1,1,0,3,2023,1,daniel-sundheim,1249,2500,United States,1,4. Financial,44,NA,2200,0,Self-made male,0,North America
725,2015,2015,1,1,0,9,2023,1,daniel-tsai,603,3000,Taiwan,0,4. Financial,59,NA,2340,0,Inherited male,0,Asia
726,2021,2021,1,1,0,1,2021,1,daniel-yong-zhang-1,2674,1000,China,1,2. New Sector,49,NA,880,0,Self-made male,0,Asia
727,2010,2010,1,1,0,14,2023,1,daniel-ziff,212,4000,United States,0,4. Financial,39,NA,2880,0,Inherited male,1,North America
728,2010,2010,1,1,0,10,2019,1,daniela-herz,437,2200,Germany,0,4. Financial,56,NA,1584,1,Inherited female,1,Europe
729,2022,2022,1,1,0,2,2023,1,danielle-bellon,822,3600,France,0,3. Nontradable,82,NA,3420,1,Inherited female,0,Europe
730,2010,2010,1,1,0,8,2017,1,danil-khachaturov,828,1200,Russia,1,4. Financial,39,NA,864,0,Self-made male,1,Asia
731,2023,2023,1,1,0,1,2023,1,danilo-iervolino,2540,1000,Italy,1,2. New Sector,45,NA,1000,0,Self-made male,0,Europe
732,2021,2021,1,1,0,3,2023,1,danna-azrieli,2524,1100,Israel,0,4. Financial,54,NA,968,1,Inherited female,0,Asia
733,2011,2011,1,1,0,13,2023,1,dannine-avara,362,3100,United States,0,1. Resource-related,47,NA,2294,1,Inherited female,0,North America
734,2014,2014,1,1,0,2,2015,1,danny-tan-chee-sing,1442,1150,Malaysia,1,4. Financial,59,NA,897,0,Self-made male,0,Asia
735,2014,2014,1,1,0,2,2015,1,dariusz-milek,1565,1000,Poland,1,3. Nontradable,46,NA,780,0,Self-made male,0,Europe
735,2017,2017,1,1,0,3,2019,2,dariusz-milek,1795,1100,Poland,1,3. Nontradable,49,NA,891,0,Self-made male,0,Europe
736,2011,2011,1,1,0,13,2023,1,darwin-deason,1140,1000,United States,1,3. Nontradable,71,NA,740,0,Self-made male,0,North America
737,2010,2010,1,1,0,14,2023,1,daryl-katz,721,1400,Canada,1,6. Diversified / Other,49,NA,1008,0,Self-made male,1,North America
738,2022,2022,0,0,0,1,2022,1,dasari-uday-kumar-reddy,2324,1200,India,1,2. New Sector,55,NA,1140,0,Self-made male,0,Asia
739,2010,2010,0,1,1,5,2014,1,david-azrieli,374,2500,Canada,1,4. Financial,88,NA,1800,0,Self-made male,1,North America
740,2010,2010,0,1,1,11,2020,1,david-barclay,421,2300,United Kingdom,1,6. Diversified / Other,76,NA,1656,0,Self-made male,1,Europe
741,2021,2021,1,1,0,3,2023,1,david-baszucki,1111,2800,United States,1,3. Nontradable,58,NA,2464,0,Self-made male,0,North America
742,2023,2023,1,1,0,1,2023,1,david-blitzer,1575,1900,United States,1,3. Nontradable,54,NA,1900,0,Self-made male,0,North America
743,2010,2010,1,1,0,14,2023,1,david-bonderman,536,1900,United States,1,4. Financial,68,NA,1368,0,Self-made male,1,North America
744,2014,2014,1,1,0,10,2023,1,david-booth,1284,1300,United States,1,4. Financial,68,NA,1014,0,Self-made male,0,North America
745,2021,2021,1,1,0,1,2021,1,david-chen,1299,2400,Singapore,1,3. Nontradable,40,NA,2112,0,Self-made male,0,Asia
746,2010,2010,1,1,0,14,2023,1,david-cheriton,616,1600,Canada,1,2. New Sector,59,NA,1152,0,Self-made male,1,North America
747,2014,2014,1,1,0,1,2014,1,david-chow-1,988,1800,Macau,1,2. New Sector,64,NA,1404,0,Self-made male,0,Asia
748,2013,2013,0,1,1,5,2017,1,david-consunji,503,2800,Philippines,1,5. Tradable,92,NA,2156,0,Self-made male,0,Asia
749,2011,2011,1,1,0,1,2011,1,david-davidovich,782,1600,Russia,1,5. Tradable,49,NA,1184,0,Self-made male,0,Asia
750,2010,2010,1,1,0,14,2023,1,david-duffield,828,1200,United States,1,2. New Sector,70,NA,864,0,Self-made male,1,North America
751,2012,2012,1,1,0,7,2018,1,david-einhorn,1075,1100,United States,1,4. Financial,44,NA,836,0,Self-made male,0,North America
752,2019,2019,1,1,0,1,2019,1,david-fattal,2057,1000,Israel,1,3. Nontradable,62,NA,840,0,Self-made male,0,Asia
752,2022,2022,0,0,0,1,2022,2,david-fattal,2190,1300,Israel,1,3. Nontradable,65,NA,1235,0,Self-made male,0,Asia
753,2019,2019,1,1,0,1,2019,1,david-feffer,1511,1500,Brazil,0,5. Tradable,63,NA,1260,0,Inherited male,0,South America
753,2021,2021,1,1,0,3,2023,2,david-feffer,1833,1700,Brazil,0,5. Tradable,65,NA,1496,0,Inherited male,0,South America
754,2010,2010,1,1,0,14,2023,1,david-filo,721,1400,United States,1,2. New Sector,44,NA,1008,0,Self-made male,1,North America
755,2023,2023,1,1,0,1,2023,1,david-fong-1,1575,1900,Hong Kong,0,4. Financial,66,NA,1900,0,Inherited male,0,Asia
756,2010,2010,1,1,0,14,2023,1,david-geffen,154,5000,United States,1,3. Nontradable,67,NA,3600,0,Self-made male,1,North America
757,2022,2022,0,0,0,1,2022,1,david-girouard,2324,1200,United States,1,4. Financial,56,NA,1140,0,Self-made male,0,North America
758,2020,2020,1,1,0,4,2023,1,david-golub,1851,1100,United States,1,4. Financial,58,NA,946,0,Self-made male,0,North America
759,2010,2010,0,0,1,13,2022,1,david-gottesman,655,1500,United States,1,4. Financial,84,NA,1080,0,Self-made male,1,North America
760,2010,2010,1,1,0,14,2023,1,david-green,316,3000,United States,1,3. Nontradable,69,NA,2160,0,Self-made male,1,North America
761,2011,2011,0,0,1,12,2022,1,david-hains,595,2000,Australia,1,4. Financial,81,NA,1480,0,Self-made male,0,Oceania
762,2018,2018,1,1,0,3,2020,1,david-hall,2124,1000,United States,1,5. Tradable,67,NA,830,0,Self-made male,0,North America
763,2012,2012,1,1,0,10,2021,1,david-harding,960,1300,United Kingdom,1,4. Financial,51,NA,988,0,Self-made male,0,Europe
764,2010,2010,1,1,0,3,2012,1,david-hearst,655,1500,United States,0,3. Nontradable,65,NA,1080,0,Inherited male,1,North America
765,2021,2021,0,0,0,2,2022,1,david-helgason,2674,1000,Iceland,1,2. New Sector,43,NA,880,0,Self-made male,0,Europe
766,2016,2016,1,1,0,2,2017,1,david-hindawi,1694,1000,United States,1,2. New Sector,72,NA,790,0,Self-made male,0,North America
766,2020,2020,1,1,0,4,2023,2,david-hindawi,1513,1400,United States,1,2. New Sector,76,NA,1204,0,Self-made male,0,North America
767,2022,2022,1,1,0,2,2023,1,david-hoffmann,2190,1300,United States,1,6. Diversified / Other,70,NA,1235,0,Self-made male,0,North America
768,2021,2021,1,1,0,1,2021,1,david-jiang,1362,2300,China,1,5. Tradable,42,NA,2024,0,Self-made male,0,Asia
769,2017,2017,1,1,0,4,2020,1,david-kabiller,1940,1000,United States,1,4. Financial,54,NA,810,0,Self-made male,0,North America
770,2023,2023,1,1,0,1,2023,1,david-kaplan,2259,1200,United States,1,4. Financial,56,NA,1200,0,Self-made male,0,North America
771,2021,2021,1,1,0,1,2021,1,david-katzman,2674,1000,United States,1,3. Nontradable,62,NA,880,0,Self-made male,0,North America
772,2010,2010,0,1,1,10,2019,1,david-koch,24,17500,United States,0,6. Diversified / Other,70,NA,12600,0,Inherited male,1,North America
773,2016,2016,1,1,0,8,2023,1,david-lichtenstein,1275,1400,United States,1,4. Financial,55,NA,1106,0,Self-made male,0,North America
774,2015,2015,1,1,0,1,2015,1,david-mcmurtry,1741,1000,United Kingdom,1,5. Tradable,75,NA,780,0,Self-made male,0,Europe
774,2017,2017,1,1,0,3,2019,2,david-mcmurtry,1940,1000,United Kingdom,1,5. Tradable,77,NA,810,0,Self-made male,0,Europe
774,2021,2021,1,1,0,3,2023,3,david-mcmurtry,1444,2200,United Kingdom,1,5. Tradable,81,NA,1936,0,Self-made male,0,Europe
775,2021,2021,1,1,0,3,2023,1,david-mindus,1931,1600,Sweden,1,4. Financial,49,NA,1408,0,Self-made male,0,Europe
776,2010,2010,1,1,0,14,2023,1,david-murdock,374,2500,United States,1,5. Tradable,87,NA,1800,0,Self-made male,1,North America
777,2011,2011,1,1,0,13,2023,1,david-nahmad,376,3000,Monaco,1,3. Nontradable,64,NA,2220,0,Self-made male,0,Europe
778,2019,2019,1,1,0,5,2023,1,david-paul,1818,1200,United States,1,2. New Sector,53,NA,1008,0,Self-made male,0,North America
779,2015,2015,1,1,0,5,2019,1,david-penaloza-alanis,1533,1200,Mexico,0,5. Tradable,41,NA,936,0,Inherited male,0,North America
779,2021,2021,1,1,0,3,2023,2,david-penaloza-alanis,2674,1000,Mexico,0,5. Tradable,47,NA,880,0,Inherited male,0,North America
780,2014,2014,1,1,0,1,2014,1,david-penaloza-sandoval,828,2100,Mexico,1,5. Tradable,67,NA,1638,0,Self-made male,0,North America
781,2010,2010,1,1,0,14,2023,1,david-reuben,93,7500,United Kingdom,1,4. Financial,72,NA,5400,0,Self-made male,1,Europe
782,2010,2010,0,1,1,8,2017,1,david-rockefeller-sr,437,2200,United States,0,4. Financial,95,NA,1584,0,Inherited male,1,North America
783,2010,2010,1,1,0,14,2023,1,david-rubenstein,374,2500,United States,1,4. Financial,61,NA,1800,0,Self-made male,1,North America
784,2010,2010,1,1,0,6,2015,1,david-sainsbury,880,1100,United Kingdom,0,3. Nontradable,70,NA,792,0,Inherited male,1,Europe
785,2010,2010,1,1,0,14,2023,1,david-shaw,374,2500,United States,1,4. Financial,59,NA,1800,0,Self-made male,1,North America
786,2017,2017,1,1,0,1,2017,1,david-shou-yeh-wong,1940,1000,Hong Kong,1,4. Financial,76,NA,810,0,Self-made male,0,Asia
787,2016,2016,1,1,0,8,2023,1,david-siegel-1,549,3100,United States,1,4. Financial,55,NA,2449,0,Self-made male,0,North America
788,2019,2019,1,1,0,5,2023,1,david-steward,745,3000,United States,1,2. New Sector,68,NA,2520,0,Self-made male,0,North America
789,2010,2010,1,1,0,14,2023,1,david-sun,374,2500,United States,1,2. New Sector,59,NA,1800,0,Self-made male,1,North America
790,2016,2016,1,1,0,8,2023,1,david-teoh,854,2100,Australia,1,2. New Sector,60,NA,1659,0,Self-made male,0,Oceania
791,2010,2010,1,1,0,14,2023,1,david-tepper,258,3500,United States,1,4. Financial,53,NA,2520,0,Self-made male,1,North America
792,2010,2010,1,1,0,14,2023,1,david-thomson,20,19000,Canada,0,3. Nontradable,53,NA,13680,0,Inherited male,1,North America
793,2023,2023,1,1,0,1,2023,1,david-tran,2540,1000,United States,1,5. Tradable,78,NA,1000,0,Self-made male,0,North America
794,2021,2021,1,1,0,3,2023,1,david-velez,539,5200,Colombia,1,4. Financial,40,NA,4576,0,Self-made male,0,South America
795,2014,2014,1,1,0,10,2023,1,david-walentas,1210,1400,United States,1,4. Financial,76,NA,1092,0,Self-made male,0,North America
796,2020,2020,1,1,0,4,2023,1,david-wertheim,1267,1700,Israel,0,5. Tradable,62,NA,1462,0,Inherited male,0,Asia
797,2013,2013,1,1,0,1,2013,1,david-william-grainger,1342,1000,United States,0,3. Nontradable,86,NA,770,0,Inherited male,0,North America
798,2018,2018,1,1,0,1,2018,1,david-xueling-li,1999,1100,China,1,2. New Sector,45,NA,913,0,Self-made male,0,Asia
798,2021,2021,0,0,0,2,2022,2,david-xueling-li,1362,2300,China,1,2. New Sector,48,NA,2024,0,Self-made male,0,Asia
799,2014,2014,1,1,0,1,2014,1,david-yakobashvili,1372,1200,Russia,1,1. Resource-related,57,NA,936,0,Self-made male,0,Asia
800,2018,2018,1,1,0,6,2023,1,david-zalik,965,2500,United States,1,2. New Sector,44,NA,2075,0,Self-made male,0,North America
801,2021,2021,1,1,0,3,2023,1,dean-solon,1444,2200,United States,1,1. Resource-related,56,NA,1936,0,Self-made male,0,North America
802,2010,2010,0,1,1,7,2016,1,dean-white,582,1700,United States,0,3. Nontradable,87,NA,1224,0,Inherited male,1,North America
803,2021,2021,1,1,0,3,2023,1,deepak-mehta,2263,1300,India,0,5. Tradable,65,NA,1144,0,Inherited male,0,Asia
804,2018,2018,1,1,0,1,2018,1,delfin-jorge-ezequiel-carballo,1999,1100,Argentina,1,4. Financial,66,NA,913,0,Self-made male,0,South America
805,2017,2017,1,1,0,1,2017,1,demetrio-carceller-coll,973,2100,Portugal,0,1. Resource-related,66.51573369,66.51573369,1701,0,Inherited male,0,Europe
806,2020,2020,1,1,0,2,2021,1,deng-hui,1613,1300,United States,1,2. New Sector,58,NA,1118,0,Self-made male,0,North America
807,2021,2021,1,1,0,3,2023,1,deng-weiming,1111,2800,China,1,5. Tradable,53,NA,2464,0,Self-made male,0,Asia
808,2020,2020,1,1,0,4,2023,1,deng-wen,1335,1600,China,1,5. Tradable,52,NA,1376,0,Self-made male,0,Asia
809,2020,2020,1,1,0,4,2023,1,deng-yingzhong,1513,1400,China,1,5. Tradable,69,NA,1204,0,Self-made male,0,Asia
810,2010,2010,1,1,0,14,2023,1,denis-obrien,258,3500,Ireland,1,2. New Sector,52,NA,2520,0,Self-made male,1,Europe
811,2023,2023,1,1,0,1,2023,1,denis-shtengelov,2133,1300,Russia,1,5. Tradable,51,NA,1300,0,Self-made male,0,Asia
812,2022,2022,0,0,0,1,2022,1,denis-sverdlov,2076,1400,Russia,1,5. Tradable,44,NA,1330,0,Self-made male,0,Asia
813,2014,2014,1,1,0,10,2023,1,denise-coates,1092,1600,United Kingdom,1,3. Nontradable,47,NA,1248,1,Self-made female,0,Europe
814,2012,2012,1,1,0,3,2014,1,denise-york,1153,1000,United States,0,3. Nontradable,62,NA,760,1,Inherited female,0,North America
814,2016,2016,1,1,0,8,2023,2,denise-york,959,1900,United States,0,3. Nontradable,66,NA,1501,1,Inherited female,0,North America
815,2010,2010,1,1,0,14,2023,1,deniz-sahenk,937,1000,Turkey,0,6. Diversified / Other,65,NA,720,1,Inherited female,1,Asia
816,2022,2022,0,0,0,1,2022,1,dennis-anthony-uy,2578,1000,Philippines,1,2. New Sector,56,NA,950,0,Self-made male,0,Asia
817,2018,2018,1,1,0,6,2023,1,dennis-gillings,1867,1200,United Kingdom,1,2. New Sector,74,NA,996,0,Self-made male,0,Europe
818,2010,2010,1,1,0,14,2023,1,dennis-washington,201,4200,United States,1,3. Nontradable,76,NA,3024,0,Self-made male,1,North America
819,2010,2010,1,1,0,14,2023,1,dermot-desmond,616,1600,Ireland,1,4. Financial,60,NA,1152,0,Self-made male,1,Europe
820,2010,2010,0,1,1,8,2017,1,desh-bandhu-gupta,655,1500,India,1,2. New Sector,72,NA,1080,0,Self-made male,1,Asia
821,2017,2017,1,1,0,1,2017,1,desmond-lim-siew-choon,1940,1000,Malaysia,1,4. Financial,57,NA,810,0,Self-made male,0,Asia
822,2013,2013,1,1,0,2,2014,1,desmond-sacco,974,1500,South Africa,0,1. Resource-related,71,NA,1155,0,Inherited male,0,Africa
823,2015,2015,1,1,0,5,2019,1,devendra-jain,1250,1500,India,0,5. Tradable,66.51573369,66.51573369,1170,0,Inherited male,0,Asia
823,2021,2021,1,1,0,1,2021,2,devendra-jain,1833,1700,India,0,5. Tradable,66.51573369,66.51573369,1496,0,Inherited male,0,Asia
824,2022,2022,1,1,0,2,2023,1,devi-shetty,2324,1200,India,1,2. New Sector,69,NA,1140,0,Self-made male,0,Asia
825,2022,2022,0,0,0,1,2022,1,devin-finzer,1397,2200,United States,1,2. New Sector,32,NA,2090,0,Self-made male,0,North America
826,2023,2023,1,1,0,1,2023,1,dewi-kam,659,4200,Indonesia,1,1. Resource-related,73,NA,4200,1,Self-made female,0,Asia
827,2010,2010,1,1,0,14,2023,1,dhanin-chearavanont,463,2100,Thailand,0,6. Diversified / Other,71,NA,1512,0,Inherited male,1,Asia
828,2022,2022,1,1,0,2,2023,1,dhruv-sawhney,2578,1000,India,0,5. Tradable,78,NA,950,0,Inherited male,0,Asia
829,2023,2023,1,1,0,1,2023,1,diana-teh-li-shing,2133,1300,Malaysia,0,4. Financial,63.16475645,63.16475645,1300,1,Inherited female,0,Asia
830,2010,2010,1,1,0,14,2023,1,diane-hendricks,488,2000,United States,1,5. Tradable,63,NA,1440,1,Self-made female,1,North America
831,2017,2017,1,1,0,7,2023,1,diane-kemper,660,3000,United States,0,4. Financial,72,NA,2430,1,Inherited female,0,North America
832,2020,2020,1,1,0,4,2023,1,diao-zhizhong,1730,1200,China,1,2. New Sector,57,NA,1032,0,Self-made male,0,Asia
833,2011,2011,1,1,0,13,2023,1,diego-della-valle,938,1300,Italy,0,3. Nontradable,58,NA,962,0,Inherited male,0,Europe
834,2016,2016,1,1,0,1,2016,1,dieter-schaub,1275,1400,Germany,0,3. Nontradable,79,NA,1106,0,Inherited male,0,Europe
835,2010,2010,1,1,0,14,2023,1,dieter-schnabel,400,2400,Germany,0,5. Tradable,64,NA,1728,0,Inherited male,1,Europe
836,2013,2013,1,1,0,11,2023,1,dieter-schwarz,29,19500,Germany,0,3. Nontradable,74,NA,15015,0,Inherited male,0,Europe
837,2010,2010,1,1,0,1,2010,1,dieter-von-holtzbrinck,828,1200,Germany,0,3. Nontradable,69,NA,864,0,Inherited male,1,Europe
838,2012,2012,1,1,0,12,2023,1,dietmar-hopp,184,5500,Germany,1,2. New Sector,72,NA,4180,0,Self-made male,0,Europe
839,2010,2010,0,0,1,13,2022,1,dietrich-mateschitz,208,4100,Austria,1,5. Tradable,66,NA,2952,0,Self-made male,1,Europe
840,2013,2013,1,1,0,1,2013,1,dilek-sabanci,1342,1000,Turkey,0,6. Diversified / Other,49,NA,770,1,Inherited female,0,Asia
841,2010,2010,1,1,0,14,2023,1,dilip-shanghvi,173,4600,India,1,2. New Sector,55,NA,3312,0,Self-made male,1,Asia
842,2022,2022,1,1,0,2,2023,1,dilip-surana,1579,1900,India,0,2. New Sector,56,NA,1805,0,Inherited male,0,Asia
843,2010,2010,0,1,1,3,2012,1,din-hwa-chen,297,3200,Hong Kong,1,4. Financial,87,NA,2304,0,Self-made male,1,Asia
844,2010,2010,1,1,0,2,2011,1,dinara-kulibaeva,880,1100,Kazakhstan,0,4. Financial,43,NA,792,1,Inherited female,1,Asia
844,2013,2013,1,1,0,11,2023,2,dinara-kulibaeva,1107,1300,Kazakhstan,0,4. Financial,46,NA,1001,1,Inherited female,0,Asia
845,2018,2018,1,1,0,1,2018,1,dinesh-nandwana,1650,1400,India,1,2. New Sector,55,NA,1162,0,Self-made male,0,Asia
846,2021,2021,1,1,0,1,2021,1,ding-lieming,1931,1600,China,1,2. New Sector,58,NA,1408,0,Self-made male,0,Asia
847,2011,2011,1,1,0,1,2011,1,ding-shijia,1140,1000,China,1,3. Nontradable,47,NA,740,0,Self-made male,0,Asia
847,2014,2014,1,1,0,10,2023,2,ding-shijia,1565,1000,China,1,3. Nontradable,50,NA,780,0,Self-made male,0,Asia
848,2011,2011,1,1,0,1,2011,1,ding-shizhong,1140,1000,China,1,3. Nontradable,41,NA,740,0,Self-made male,0,Asia
848,2014,2014,1,1,0,10,2023,2,ding-shizhong,1565,1000,China,1,3. Nontradable,44,NA,780,0,Self-made male,0,Asia
849,2022,2022,1,1,0,2,2023,1,ding-shui-po,2076,1400,China,0,3. Nontradable,52,NA,1330,0,Inherited male,0,Asia
850,2017,2017,1,1,0,1,2017,1,ding-yuhua,1795,1100,China,1,5. Tradable,69,NA,891,0,Self-made male,0,Asia
851,2010,2010,1,1,0,3,2012,1,dinu-patriciu,437,2200,Romania,1,1. Resource-related,60,NA,1584,0,Self-made male,1,Europe
852,2013,2013,0,1,1,1,2013,1,dirce-navarro-de-camargo,87,11500,Brazil,0,5. Tradable,63.16475645,63.16475645,8855,1,Inherited female,0,South America
853,2013,2013,1,1,0,11,2023,1,dirk-rossmann,792,1900,Germany,1,3. Nontradable,67,NA,1463,0,Self-made male,0,Europe
854,2018,2018,1,1,0,1,2018,1,dirk-stroeer,2124,1000,Germany,0,3. Nontradable,49,NA,830,0,Inherited male,0,Europe
854,2021,2021,0,0,0,2,2022,2,dirk-stroeer,2263,1300,Germany,0,3. Nontradable,52,NA,1144,0,Inherited male,0,Europe
855,2010,2010,1,1,0,14,2023,1,dirk-ziff,212,4000,United States,0,4. Financial,46,NA,2880,0,Inherited male,1,North America
856,2012,2012,1,1,0,2,2013,1,djoko-susanto,1153,1000,Indonesia,1,3. Nontradable,62,NA,760,0,Self-made male,0,Asia
856,2015,2015,1,1,0,9,2023,2,djoko-susanto,1638,1100,Indonesia,1,3. Nontradable,65,NA,858,0,Self-made male,0,Asia
857,2020,2020,1,1,0,4,2023,1,dmitri-bukhman,648,3100,Russia,1,3. Nontradable,35,NA,2666,0,Self-made male,0,Asia
858,2010,2010,1,1,0,8,2017,1,dmitry-ananyev,616,1600,Russia,1,6. Diversified / Other,41,NA,1152,0,Self-made male,1,Asia
859,2020,2020,0,1,1,1,2020,1,dmitry-bosov,1851,1100,Russia,1,1. Resource-related,52,NA,946,0,Self-made male,0,Asia
860,2011,2011,1,1,0,13,2023,1,dmitry-kamenshchik,1057,1100,Russia,1,3. Nontradable,43,NA,814,0,Self-made male,0,Asia
861,2011,2011,1,1,0,1,2011,1,dmitry-korzhev,1140,1000,Russia,1,3. Nontradable,47,NA,740,0,Self-made male,0,Asia
861,2013,2013,1,1,0,2,2014,2,dmitry-korzhev,1268,1100,Russia,1,3. Nontradable,49,NA,847,0,Self-made male,0,Asia
862,2011,2011,1,1,0,5,2015,1,dmitry-mazepin,833,1500,Russia,1,5. Tradable,43,NA,1110,0,Self-made male,0,Asia
862,2023,2023,1,1,0,1,2023,2,dmitry-mazepin,1067,2800,Russia,1,5. Tradable,55,NA,2800,0,Self-made male,0,Asia
863,2023,2023,1,1,0,1,2023,1,dmitry-nikolaev,2405,1100,Russia,1,1. Resource-related,57,NA,1100,0,Self-made male,0,Asia
864,2010,2010,1,1,0,5,2014,1,dmitry-pumpyansky,342,2900,Russia,1,1. Resource-related,46,NA,2088,0,Self-made male,1,Asia
864,2016,2016,1,1,0,6,2021,2,dmitry-pumpyansky,1694,1000,Russia,1,1. Resource-related,52,NA,790,0,Self-made male,0,Asia
864,2023,2023,1,1,0,1,2023,3,dmitry-pumpyansky,1725,1700,Russia,1,1. Resource-related,59,NA,1700,0,Self-made male,0,Asia
865,2010,2010,1,1,0,14,2023,1,dmitry-rybolovlev,79,8600,Russia,1,5. Tradable,44,NA,6192,0,Self-made male,1,Asia
866,2011,2011,1,1,0,1,2011,1,dmitry-troitsky,1140,1000,Russia,1,3. Nontradable,46,NA,740,0,Self-made male,0,Asia
866,2013,2013,1,1,0,2,2014,2,dmitry-troitsky,1268,1100,Russia,1,3. Nontradable,48,NA,847,0,Self-made male,0,Asia
868,2013,2013,1,1,0,6,2018,1,domenico-dolce,736,2000,Italy,1,3. Nontradable,55,NA,1540,0,Self-made male,0,Europe
868,2020,2020,1,1,0,4,2023,2,domenico-dolce,1851,1100,Italy,1,3. Nontradable,62,NA,946,0,Self-made male,0,Europe
869,2016,2016,1,1,0,8,2023,1,dominika-kulczyk,435,3600,Poland,0,4. Financial,39,NA,2844,1,Inherited female,0,Europe
870,2017,2017,1,1,0,3,2019,1,dominique-desseigne,1795,1100,France,0,3. Nontradable,73,NA,891,0,Inherited male,0,Europe
871,2015,2015,1,1,0,4,2018,1,don-gao,1638,1100,China,1,5. Tradable,50,NA,858,0,Self-made male,0,Asia
872,2014,2014,1,1,0,10,2023,1,don-hankey,1092,1600,United States,1,4. Financial,71,NA,1248,0,Self-made male,0,North America
873,2016,2016,1,1,0,1,2016,1,don-simplot,1067,1700,United States,0,5. Tradable,81,NA,1343,0,Inherited male,0,North America
874,2018,2018,1,1,0,6,2023,1,don-vultaggio,791,3000,United States,1,5. Tradable,66,NA,2490,0,Self-made male,0,North America
875,2015,2015,1,1,0,9,2023,1,dona-bertarelli,352,4600,Switzerland,0,2. New Sector,47,NA,3588,1,Inherited female,0,Europe
876,2010,2010,1,1,0,14,2023,1,donald-bren,45,12000,United States,1,4. Financial,78,NA,8640,0,Self-made male,1,North America
877,2018,2018,0,0,1,5,2022,1,donald-foss,1867,1200,United States,1,5. Tradable,74,NA,996,0,Self-made male,0,North America
878,2016,2016,1,1,0,8,2023,1,donald-friese,1694,1000,United States,1,5. Tradable,76,NA,790,0,Self-made male,0,North America
879,2010,2010,1,1,0,2,2011,1,donald-hall,937,1000,United States,0,3. Nontradable,82,NA,720,0,Inherited male,1,North America
879,2013,2013,1,1,0,3,2015,2,donald-hall,1342,1000,United States,0,3. Nontradable,85,NA,770,0,Inherited male,0,North America
880,2019,2019,1,1,0,1,2019,1,donald-horton,2057,1000,United States,1,4. Financial,69,NA,840,0,Self-made male,0,North America
880,2021,2021,1,1,0,3,2023,2,donald-horton,1299,2400,United States,1,4. Financial,71,NA,2112,0,Self-made male,0,North America
881,2010,2010,1,1,0,14,2023,1,donald-newhouse,212,4000,United States,0,3. Nontradable,81,NA,2880,0,Inherited male,1,North America
882,2010,2010,0,1,1,2,2011,1,donald-schneider,316,3000,United States,0,3. Nontradable,75,NA,2160,0,Inherited male,1,North America
883,2019,2019,1,1,0,1,2019,1,donald-sihombing,1605,1400,Indonesia,1,5. Tradable,62,NA,1176,0,Self-made male,0,Asia
884,2012,2012,1,1,0,12,2023,1,donald-sterling,854,1500,United States,1,4. Financial,78,NA,1140,0,Self-made male,0,North America
885,2010,2010,1,1,0,14,2023,1,donald-trump,488,2000,United States,0,4. Financial,64,NA,1440,0,Inherited male,1,North America
886,2017,2017,1,1,0,1,2017,1,dong-fan,1795,1100,China,1,2. New Sector,63.73740777,63.73740777,891,0,Self-made male,0,Asia
886,2019,2019,1,1,0,5,2023,2,dong-fan,1818,1200,China,1,2. New Sector,63.73740777,63.73740777,1008,0,Self-made male,0,Asia
887,2021,2021,1,1,0,3,2023,1,dong-jinggui,925,3300,China,1,5. Tradable,63.73740777,63.73740777,2904,0,Self-made male,0,Asia
888,2018,2018,1,1,0,6,2023,1,dong-wei-2,1215,2000,China,1,2. New Sector,47,NA,1660,0,Self-made male,0,Asia
889,2017,2017,1,1,0,7,2023,1,dongsheng-chen,973,2100,China,1,4. Financial,60,NA,1701,0,Self-made male,0,Asia
890,2012,2012,1,1,0,1,2012,1,donna-macmillan,344,3300,United States,0,5. Tradable,80,NA,2508,1,Inherited female,0,North America
891,2010,2010,1,1,0,14,2023,1,doris-fisher,374,2500,United States,1,3. Nontradable,79,NA,1800,1,Self-made female,1,North America
892,2010,2010,0,1,1,5,2014,1,dorothea-steinbruch,136,5500,Brazil,0,1. Resource-related,63.16475645,63.16475645,3960,1,Inherited female,1,South America
893,2010,2010,1,1,1,1,2010,1,dorrance-hamilton,937,1000,United States,0,5. Tradable,82,NA,720,1,Inherited female,1,North America
893,2015,2015,0,1,1,3,2017,2,dorrance-hamilton,1638,1100,United States,0,5. Tradable,87,NA,858,1,Inherited female,0,North America
894,2016,2016,1,1,0,8,2023,1,dou-zhenggang,1694,1000,China,1,6. Diversified / Other,63,NA,790,0,Self-made male,0,Asia
